project_id,field_name,field_value,source_url,evidence_type,evidence_snippet,asset_path_or_pdf_page,captured_date,parser_confidence,overwrite_flag,notes
blumar_hills,golf_flag,false,https://wadidegladevelopments.com/projects/blumar-hills/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
blumar_hills,brochure_urls_json,"[""https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf""]",https://wadidegladevelopments.com/projects/blumar-hills/,dom,PDF links found on page: https://wadidegladevelopments.com/wp-content/uploads/2025/09/WDD-Magazine-25-Digital.pdf,,2026-02-22,,,
blumar_hills,confidence_score,0.50,https://wadidegladevelopments.com/projects/blumar-hills/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
tijan_maadi,official_project_url,https://wadidegladevelopments.com/projects/tijan-maadi/,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Crawled https://wadidegladevelopments.com/projects/tijan-maadi/; card or page URL captured,,2026-02-22,,,
tijan_maadi,region,Cairo,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Location text extracted from page: Cairo | Maadi,,2026-02-22,,,
tijan_maadi,city_area,Maadi,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Location text: Maadi,,2026-02-22,,,
tijan_maadi,micro_location,New Degla,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Micro-location from page: New Degla,,2026-02-22,,,
tijan_maadi,project_type,residential,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Project type determined from page content: residential,,2026-02-22,,,
tijan_maadi,project_status,delivered,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Status from page/index: delivered,,2026-02-22,,,
tijan_maadi,current_sales_status,not_selling,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Sales status: not_selling; index card checked,,2026-02-22,,,
tijan_maadi,developer_inventory_status,sold_out,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Sold-out label on /projects/ index card,,2026-02-22,,,
tijan_maadi,unit_types_offered_json,"[""Apartments""]",https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Unit types from DOM: Apartments,,2026-02-22,,,
tijan_maadi,key_amenities_json,"[""Green Areas"", ""Secured Parking"", ""Water Feature"", ""Walking Track""]",https://wadidegladevelopments.com/projects/tijan-maadi/,dom,"Amenities from DOM: Green Areas, Secured Parking, Water Feature, Walking Track",,2026-02-22,,,
tijan_maadi,beach_access_flag,false,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,beach_access_flag=false from amenities/DOM,,2026-02-22,,,
tijan_maadi,lagoons_flag,false,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,lagoons_flag=false from amenities/DOM,,2026-02-22,,,
tijan_maadi,clubhouse_flag,true,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,clubhouse_flag=true from amenities/DOM,,2026-02-22,,,
tijan_maadi,pools_flag,true,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
tijan_maadi,gym_flag,false,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,gym_flag=false from amenities/DOM,,2026-02-22,,,
tijan_maadi,golf_flag,false,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
tijan_maadi,confidence_score,0.50,https://wadidegladevelopments.com/projects/tijan-maadi/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
blumar_el_dome,official_project_url,https://wadidegladevelopments.com/projects/blumar-el-dome/,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Crawled https://wadidegladevelopments.com/projects/blumar-el-dome/; card or page URL captured,,2026-02-22,,,
blumar_el_dome,region,Ain Sokhna,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Location text extracted from page: Ain Sokhna | Zaafarana Road,,2026-02-22,,,
blumar_el_dome,city_area,Zaafarana Road,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Location text: Zaafarana Road,,2026-02-22,,,
blumar_el_dome,project_type,resort,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Project type determined from page content: resort,,2026-02-22,,,
blumar_el_dome,project_status,delivered,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Status from page/index: delivered,,2026-02-22,,,
blumar_el_dome,current_sales_status,not_selling,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Sales status: not_selling; index card checked,,2026-02-22,,,
blumar_el_dome,developer_inventory_status,sold_out,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Sold-out label on /projects/ index card,,2026-02-22,,,
blumar_el_dome,unit_types_offered_json,"[""Chalets""]",https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Unit types from DOM: Chalets,,2026-02-22,,,
blumar_el_dome,key_amenities_json,"[""Restaurants"", ""Hotel"", ""Swimming Pools""]",https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,"Amenities from DOM: Restaurants, Hotel, Swimming Pools",,2026-02-22,,,
blumar_el_dome,beach_access_flag,true,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,beach_access_flag=true from amenities/DOM,,2026-02-22,,,
blumar_el_dome,lagoons_flag,false,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,lagoons_flag=false from amenities/DOM,,2026-02-22,,,
blumar_el_dome,clubhouse_flag,false,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,clubhouse_flag=false from amenities/DOM,,2026-02-22,,,
blumar_el_dome,pools_flag,true,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
blumar_el_dome,gym_flag,false,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,gym_flag=false from amenities/DOM,,2026-02-22,,,
blumar_el_dome,golf_flag,false,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
blumar_el_dome,confidence_score,0.50,https://wadidegladevelopments.com/projects/blumar-el-dome/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
pyramids_walk,official_project_url,https://wadidegladevelopments.com/projects/pyramids-walk/,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Crawled https://wadidegladevelopments.com/projects/pyramids-walk/; card or page URL captured,,2026-02-22,,,
pyramids_walk,region,West Cairo,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Location text extracted from page: West Cairo | 6th of October,,2026-02-22,,,
pyramids_walk,city_area,6th of October,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Location text: 6th of October,,2026-02-22,,,
pyramids_walk,project_type,residential,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Project type determined from page content: residential,,2026-02-22,,,
pyramids_walk,project_status,delivered,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Status from page/index: delivered,,2026-02-22,,,
pyramids_walk,current_sales_status,not_selling,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Sales status: not_selling; index card checked,,2026-02-22,,,
pyramids_walk,developer_inventory_status,sold_out,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Sold-out label on /projects/ index card,,2026-02-22,,,
pyramids_walk,unit_types_offered_json,"[""Twin Houses"", ""Town Houses""]",https://wadidegladevelopments.com/projects/pyramids-walk/,dom,"Unit types from DOM: Twin Houses, Town Houses",,2026-02-22,,,
pyramids_walk,key_amenities_json,"[""Swimming Pools"", ""Green Areas"", ""Secured Parking"", ""360-degree view""]",https://wadidegladevelopments.com/projects/pyramids-walk/,dom,"Amenities from DOM: Swimming Pools, Green Areas, Secured Parking, 360-degree view",,2026-02-22,,,
pyramids_walk,beach_access_flag,false,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,beach_access_flag=false from amenities/DOM,,2026-02-22,,,
pyramids_walk,lagoons_flag,false,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,lagoons_flag=false from amenities/DOM,,2026-02-22,,,
pyramids_walk,clubhouse_flag,false,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,clubhouse_flag=false from amenities/DOM,,2026-02-22,,,
pyramids_walk,pools_flag,true,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,pools_flag=true from amenities/DOM,,2026-02-22,,,
pyramids_walk,gym_flag,true,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,gym_flag=true from amenities/DOM,,2026-02-22,,,
pyramids_walk,golf_flag,false,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,golf_flag=false from amenities/DOM,,2026-02-22,,,
pyramids_walk,confidence_score,0.50,https://wadidegladevelopments.com/projects/pyramids-walk/,dom,Confidence scored per scoring rubric,,2026-02-22,,,
blumar_sidi_abd_el_rahman,official_project_url,https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/,https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/,dom,Crawled https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/; card or page URL captured,,2026-02-22,,,
blumar_sidi_abd_el_rahman,region,North Coast,https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/,dom,Location text extracted from page: North Coast | Sidi Abdel Rahman,,2026-02-22,,,
blumar_sidi_abd_el_rahman,city_area,Sidi Abdel Rahman,https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/,dom,Location text: Sidi Abdel Rahman,,2026-02-22,,,
blumar_sidi_abd_el_rahman,project_type,resort,https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/,dom,Project type determined from page content: resort,,2026-02-22,,,
blumar_sidi_abd_el_rahman,project_status,delivered,https://wadidegladevelopments.com/projects/blumar-sidi-abdel-rahman-2/,dom,Status from page/index: delivered,,2026-02-22,,,
